Year,Month,Day,Date,WaterTempF.AM,WaterTempC.AM,WaterTempF.PM,WaterTempC.PM,LowAirTempF,HighAirTempF,LowAirTempC,HighAirTempC,Notes,Photoperiod,DOY,iceyear,MeanWaterTemp,MeanAirTemp,temp.iced,AboveFreezing,threeweektemp,threeweekwarm,fromThaw,cumAboveFreezing,day1temp,PredWaterTemp
1956,Jul,8,7/8/1956,NA,NA,66,18.89,56,60,13.3,15.6,NA,15.58170276,190,1957,18.89,14.45,Open,14.45,125.8,125.8,0,125.8,5,18.89
1956,Jul,9,7/9/1956,NA,NA,68.5,20.28,48,66,8.9,18.9,NA,15.56017657,191,1957,20.28,13.9,Open,13.9,139.7,139.7,0,139.7,5,20.28
1956,Jul,10,7/10/1956,NA,NA,71,21.67,48,73,8.9,22.8,NA,15.53755021,192,1957,21.67,15.85,Open,15.85,155.55,155.55,0,155.55,5,21.67
1956,Jul,11,7/11/1956,NA,NA,73,22.78,60,78,15.6,25.6,NA,15.51384323,193,1957,22.78,20.6,Open,20.6,176.15,176.15,0,176.15,5,22.78
1956,Jul,12,7/12/1956,NA,NA,72,22.22,55,68,12.8,20,NA,15.48907573,194,1957,22.22,16.4,Open,16.4,192.55,192.55,0,192.55,5,22.22
1956,Jul,13,7/13/1956,NA,NA,68,20,56,62,13.3,16.7,NA,15.46326837,195,1957,20,15,Open,15,207.55,207.55,0,207.55,5,20
1956,Jul,14,7/14/1956,NA,NA,72,22.22,52,76,11.1,24.4,NA,15.43644224,196,1957,22.22,17.75,Open,17.75,225.3,225.3,0,225.3,5,22.22
1956,Jul,15,7/15/1956,NA,NA,76,24.44,60,76,15.6,24.4,NA,15.40861885,197,1957,24.44,20,Open,20,245.3,245.3,0,245.3,5,24.44
1956,Jul,16,7/16/1956,NA,NA,70,21.11,58,60,14.4,15.6,NA,15.37982008,198,1957,21.11,15,Open,15,260.3,260.3,0,260.3,5,21.11
1956,Jul,17,7/17/1956,NA,NA,74,23.33,46,70,7.8,21.1,NA,15.35006808,199,1957,23.33,14.45,Open,14.45,274.75,274.75,0,274.75,5,23.33
1956,Jul,18,7/18/1956,NA,NA,72,22.22,44,68,6.7,20,NA,15.31938526,200,1957,22.22,13.35,Open,13.35,288.1,288.1,0,288.1,5,22.22
1956,Jul,19,7/19/1956,NA,NA,68,20,54,62,12.2,16.7,NA,15.28779422,201,1957,20,14.45,Open,14.45,302.55,302.55,0,302.55,5,20
1956,Jul,20,7/20/1956,NA,NA,67,19.44,54,67,12.2,19.4,NA,15.2553177,202,1957,19.44,15.8,Open,15.8,318.35,318.35,0,318.35,5,19.44
1956,Jul,21,7/21/1956,NA,NA,64,17.78,54,58,12.2,14.4,NA,15.22197854,203,1957,17.78,13.3,Open,13.3,331.65,331.65,0,331.65,5,17.78
1956,Jul,22,7/22/1956,NA,NA,68,20,54,66,12.2,18.9,NA,15.18779962,204,1957,20,15.55,Open,15.55,328.85,328.85,0,347.2,5,20
1956,Jul,23,7/23/1956,NA,NA,66,18.89,54,74,12.2,23.3,NA,15.15280382,205,1957,18.89,17.75,Open,17.75,328.3,328.3,0,364.95,5,18.89
1956,Jul,24,7/24/1956,NA,NA,74,23.33,58,74,14.4,23.3,NA,15.11701399,206,1957,23.33,18.85,Open,18.85,332.45,332.45,0,383.8,5,23.33
1956,Jul,25,7/25/1956,NA,NA,78,25.56,54,72,12.2,22.2,NA,15.08045287,207,1957,25.56,17.2,Open,17.2,334.9,334.9,0,401,5,25.56
1956,Jul,26,7/26/1956,NA,NA,78,25.56,58,82,14.4,27.8,NA,15.04314312,208,1957,25.56,21.1,Open,21.1,339.35,339.35,0,422.1,5,25.56
1956,Jul,27,7/27/1956,NA,NA,74,23.33,59,68,15,20,NA,15.00510721,209,1957,23.33,17.5,Open,17.5,340.2,340.2,0,439.6,5,23.33
1956,Jul,28,7/28/1956,NA,NA,74,23.33,50,64,10,17.8,NA,14.96636743,210,1957,23.33,13.9,Open,13.9,342.15,342.15,0,453.5,5,23.33
1956,Jul,29,7/29/1956,NA,NA,73,22.78,48,66,8.9,18.9,NA,14.92694584,211,1957,22.78,13.9,Open,13.9,341.6,341.6,0,467.4,5,22.78
1956,Jul,30,7/30/1956,NA,NA,70,21.11,49,66,9.4,18.9,NA,14.88686426,212,1957,21.11,14.15,Open,14.15,341.85,341.85,0,481.55,5,21.11
1956,Jul,31,7/31/1956,NA,NA,76,24.44,54,72,12.2,22.2,NA,14.84614422,213,1957,24.44,17.2,Open,17.2,343.2,343.2,0,498.75,5,24.44
1956,Aug,1,8/1/1956,NA,NA,77,25,50,76,10,24.4,NA,14.80480694,214,1957,25,17.2,Open,17.2,339.8,339.8,0,515.95,5,25
1956,Aug,2,8/2/1956,NA,NA,76,24.44,52,72,11.1,22.2,NA,14.76287332,215,1957,24.44,16.65,Open,16.65,340.05,340.05,0,532.6,5,24.44
1956,Aug,3,8/3/1956,NA,NA,69,20.56,52,58,11.1,14.4,NA,14.72036392,216,1957,20.56,12.75,Open,12.75,337.8,337.8,0,545.35,5,20.56
1956,Aug,4,8/4/1956,NA,NA,70,21.11,56,76,13.3,24.4,NA,14.67729892,217,1957,21.11,18.85,Open,18.85,338.9,338.9,0,564.2,5,21.11
1956,Aug,5,8/5/1956,NA,NA,70,21.11,60,72,15.6,22.2,NA,14.63369811,218,1957,21.11,18.9,Open,18.9,337.8,337.8,0,583.1,5,21.11
1956,Aug,6,8/6/1956,NA,NA,74,23.33,58,74,14.4,23.3,NA,14.58958091,219,1957,23.33,18.85,Open,18.85,341.65,341.65,0,601.95,5,23.33
1956,Aug,7,8/7/1956,NA,NA,76,24.44,58,77,14.4,25,NA,14.5449663,220,1957,24.44,19.7,Open,19.7,346.9,346.9,0,621.65,5,24.44
1956,Aug,8,8/8/1956,NA,NA,72,22.22,55,74,12.8,23.3,NA,14.49987285,221,1957,22.22,18.05,Open,18.05,351.6,351.6,0,639.7,5,22.22
1956,Aug,9,8/9/1956,NA,NA,74,23.33,54,74,12.2,23.3,NA,14.45431872,222,1957,23.33,17.75,Open,17.75,354.9,354.9,0,657.45,5,23.33
1956,Aug,10,8/10/1956,NA,NA,72,22.22,56,76,13.3,24.4,NA,14.40832161,223,1957,22.22,18.85,Open,18.85,357.95,357.95,0,676.3,5,22.22
1956,Aug,11,8/11/1956,NA,NA,74,23.33,56,70,13.3,21.1,NA,14.36189879,224,1957,23.33,17.2,Open,17.2,361.85,361.85,0,693.5,5,23.33
1956,Aug,12,8/12/1956,NA,NA,72,22.22,50,68,10,20,NA,14.31506707,225,1957,22.22,15,Open,15,361.3,361.3,0,708.5,5,22.22
1956,Aug,13,8/13/1956,NA,NA,75,23.89,60,72,15.6,22.2,NA,14.26784284,226,1957,23.89,18.9,Open,18.9,362.45,362.45,0,727.4,5,23.89
1956,Aug,14,8/14/1956,NA,NA,74,23.33,58,76,14.4,24.4,NA,14.22024202,227,1957,23.33,19.4,Open,19.4,363,363,0,746.8,5,23.33
1956,Aug,15,8/15/1956,NA,NA,76,24.44,54,76,12.2,24.4,NA,14.1722801,228,1957,24.44,18.3,Open,18.3,364.1,364.1,0,765.1,5,24.44
1956,Aug,16,8/16/1956,NA,NA,74,23.33,60,72,15.6,22.2,NA,14.12397209,229,1957,23.33,18.9,Open,18.9,361.9,361.9,0,784,5,23.33
1956,Aug,17,8/17/1956,NA,NA,74,23.33,58,73,14.4,22.8,NA,14.07533259,230,1957,23.33,18.6,Open,18.6,363,363,0,802.6,5,23.33
1956,Aug,18,8/18/1956,NA,NA,69,20.56,54,62,12.2,16.7,NA,14.02637576,231,1957,20.56,14.45,Open,14.45,363.55,363.55,0,817.05,5,20.56
1956,Aug,19,8/19/1956,NA,NA,67,19.44,46,56,7.8,13.3,NA,13.9771153,232,1957,19.44,10.55,Open,10.55,360.2,360.2,0,827.6,5,19.44
1956,Aug,20,8/20/1956,NA,NA,62,16.67,40,60,4.4,15.6,NA,13.9275645,233,1957,16.67,10,Open,10,356.05,356.05,0,837.6,5,16.67
1956,Aug,21,8/21/1956,NA,NA,64,17.78,46,64,7.8,17.8,NA,13.87773622,234,1957,17.78,12.8,Open,12.8,351.65,351.65,0,850.4,5,17.78
1956,Aug,22,8/22/1956,NA,NA,66,18.89,54,64,12.2,17.8,NA,13.82764292,235,1957,18.89,15,Open,15,349.45,349.45,0,865.4,5,18.89
1956,Aug,23,8/23/1956,NA,NA,65,18.33,52,62,11.1,16.7,NA,13.77729662,236,1957,18.33,13.9,Open,13.9,346.7,346.7,0,879.3,5,18.33
1956,Aug,24,8/24/1956,NA,NA,66,18.89,46,62,7.8,16.7,NA,13.72670897,237,1957,18.89,12.25,Open,12.25,346.2,346.2,0,891.55,5,18.89
1956,Aug,25,8/25/1956,NA,NA,69,20.56,52,72,11.1,22.2,NA,13.67589123,238,1957,20.56,16.65,Open,16.65,344,344,0,908.2,5,20.56
1956,Aug,26,8/26/1956,NA,NA,70,21.11,54,70,12.2,21.1,NA,13.62485426,239,1957,21.11,16.65,Open,16.65,341.75,341.75,0,924.85,5,21.11
1956,Aug,27,8/27/1956,NA,NA,72,22.22,52,74,11.1,23.3,NA,13.57360857,240,1957,22.22,17.2,Open,17.2,340.1,340.1,0,942.05,5,22.22
1956,Aug,28,8/28/1956,NA,NA,74,23.33,66,78,18.9,25.6,NA,13.52216431,241,1957,23.33,22.25,Open,22.25,342.65,342.65,0,964.3,5,23.33
1956,Aug,29,8/29/1956,NA,NA,71,21.67,64,72,17.8,22.2,NA,13.47053128,242,1957,21.67,20,Open,20,344.6,344.6,0,984.3,5,21.67
1956,Aug,30,8/30/1956,NA,NA,72,22.22,55,72,12.8,22.2,NA,13.41871894,243,1957,22.22,17.5,Open,17.5,344.35,344.35,0,1001.8,5,22.22
1956,Aug,31,8/31/1956,NA,NA,70,21.11,62,74,16.7,23.3,NA,13.36673643,244,1957,21.11,20,Open,20,345.5,345.5,0,1021.8,5,21.11
1956,Sep,1,9/1/1956,NA,NA,68,20,52,66,11.1,18.9,NA,13.31459258,245,1957,20,15,Open,15,343.3,343.3,0,1036.8,5,20
1956,Sep,2,9/2/1956,NA,NA,69,20.56,48,68,8.9,20,NA,13.26229593,246,1957,20.56,14.45,Open,14.45,342.75,342.75,0,1051.25,5,20.56
1956,Sep,3,9/3/1956,NA,NA,70,21.11,58,72,14.4,22.2,NA,13.20985473,247,1957,21.11,18.3,Open,18.3,342.15,342.15,0,1069.55,5,21.11
1956,Sep,4,9/4/1956,NA,NA,70,21.11,46,60,7.8,15.6,NA,13.15727694,248,1957,21.11,11.7,Open,11.7,334.45,334.45,0,1081.25,5,21.11
1956,Sep,5,9/5/1956,NA,NA,64,17.78,45,60,7.2,15.6,NA,13.10457028,249,1957,17.78,11.4,Open,11.4,327.55,327.55,0,1092.65,5,17.78
1956,Sep,6,9/6/1956,NA,NA,62,16.67,44,52,6.7,11.1,NA,13.05174223,250,1957,16.67,8.9,Open,8.9,317.55,317.55,0,1101.55,5,16.67
1956,Sep,7,9/7/1956,NA,NA,60,15.56,38,54,3.3,12.2,NA,12.99880002,251,1957,15.56,7.75,Open,7.75,306.7,306.7,0,1109.3,5,15.56
1956,Sep,8,9/8/1956,NA,NA,62,16.67,36,55,2.2,12.8,NA,12.94575068,252,1957,16.67,7.5,Open,7.5,299.75,299.75,0,1116.8,5,16.67
1956,Sep,9,9/9/1956,NA,NA,62,16.67,38,64,3.3,17.8,NA,12.89260101,253,1957,16.67,10.55,Open,10.55,299.75,299.75,0,1127.35,5,16.67
1956,Sep,10,9/10/1956,NA,NA,68,20,54,67,12.2,19.4,NA,12.83935763,254,1957,20,15.8,Open,15.8,305.55,305.55,0,1143.15,5,20
1956,Sep,11,9/11/1956,NA,NA,68,20,56,68,13.3,20,NA,12.78602701,255,1957,20,16.65,Open,16.65,309.4,309.4,0,1159.8,5,20
1956,Sep,12,9/12/1956,NA,NA,70,21.11,54,73,12.2,22.8,NA,12.73261542,256,1957,21.11,17.5,Open,17.5,311.9,311.9,0,1177.3,5,21.11
1956,Sep,13,9/13/1956,NA,NA,64,17.78,58,66,14.4,18.9,NA,12.67912899,257,1957,17.78,16.65,Open,16.65,314.65,314.65,0,1193.95,5,17.78
1956,Sep,14,9/14/1956,NA,NA,60,15.56,40,52,4.4,11.1,NA,12.62557373,258,1957,15.56,7.75,Open,7.75,310.15,310.15,0,1201.7,5,15.56
1956,Sep,15,9/15/1956,NA,NA,56,13.33,40,52,4.4,11.1,NA,12.57195553,259,1957,13.33,7.75,Open,7.75,301.25,301.25,0,1209.45,5,13.33
1956,Sep,16,9/16/1956,NA,NA,58,14.445,48,60,8.9,15.6,NA,12.51828015,260,1957,14.445,12.25,Open,12.25,296.85,296.85,0,1221.7,5,14.445
1956,Sep,17,9/17/1956,NA,NA,60,15.56,43,60,6.1,15.6,NA,12.46455329,261,1957,15.56,10.85,Open,10.85,290.5,290.5,0,1232.55,5,15.56
1956,Sep,18,9/18/1956,NA,NA,57,13.89,34,62,1.1,16.7,NA,12.41078056,262,1957,13.89,8.9,Open,8.9,277.15,277.15,0,1241.45,5,13.89
1956,Sep,19,9/19/1956,NA,NA,53,11.67,36,41,2.2,5,NA,12.3569675,263,1957,11.67,3.6,Open,3.6,260.75,260.75,0,1245.05,5,11.67
1956,Sep,20,9/20/1956,NA,NA,55,12.78,31,52,-0.6,11.1,NA,12.30311961,264,1957,12.78,5.25,Open,5.25,248.5,248.5,0,1250.3,5,12.78
1956,Sep,21,9/21/1956,NA,NA,54,12.22,33,54,0.6,12.2,NA,12.24924237,265,1957,12.22,6.4,Open,6.4,234.9,234.9,0,1256.7,5,12.22
1956,Sep,22,9/22/1956,NA,NA,54,12.22,42,58,5.6,14.4,NA,12.19534123,266,1957,12.22,10,Open,10,229.9,229.9,0,1266.7,5,12.22
1956,Sep,23,9/23/1956,NA,NA,56,13.33,44,60,6.7,15.6,NA,12.14142163,267,1957,13.33,11.15,Open,11.15,226.6,226.6,0,1277.85,5,13.33
1956,Sep,24,9/24/1956,NA,NA,58,14.44,42,62,5.6,16.7,NA,12.08748905,268,1957,14.44,11.15,Open,11.15,219.45,219.45,0,1289,5,14.44
1956,Sep,25,9/25/1956,NA,NA,60,15.56,42,75,5.6,23.9,NA,12.03354897,269,1957,15.56,14.75,Open,14.75,222.5,222.5,0,1303.75,5,15.56
1956,Sep,26,9/26/1956,NA,NA,60,15.56,42,70,5.6,21.1,NA,11.97960693,270,1957,15.56,13.35,Open,13.35,224.45,224.45,0,1317.1,5,15.56
1956,Sep,27,9/27/1956,NA,NA,58,14.44,48,68,8.9,20,NA,11.92566852,271,1957,14.44,14.45,Open,14.45,230,230,0,1331.55,5,14.44
1956,Sep,28,9/28/1956,NA,NA,60,15.56,55,76,12.8,24.4,NA,11.87173942,272,1957,15.56,18.6,Open,18.6,240.85,240.85,0,1350.15,5,15.56
1956,Sep,29,9/29/1956,NA,NA,54,12.22,42,46,5.6,7.8,NA,11.81782537,273,1957,12.22,6.7,Open,6.7,240.05,240.05,0,1356.85,5,12.22
