Gear,CorrGear,Date,DOY,Year,Month,Length,TLbin,Sex,Maturity,Weight,Age,Count
2,2,5/9/1947,129,1947,5,30,30,2,2,NA,10,1
2,2,5/9/1947,129,1947,5,23,23,2,2,NA,5,1
2,2,5/9/1947,129,1947,5,23,23,2,2,NA,5,1
2,2,5/9/1947,129,1947,5,22,22,2,2,NA,5,1
2,2,5/9/1947,129,1947,5,17,17,1,2,NA,3,1
2,2,5/9/1947,129,1947,5,23,23,2,2,NA,5,1
2,2,5/9/1947,129,1947,5,22,22,2,2,NA,4,1
1,1,5/11/1947,131,1947,5,22,22,NA,NA,3,NA,1
1,1,6/10/1947,161,1947,6,19.3,19,NA,NA,NA,NA,1
1,1,7/4/1947,185,1947,7,23,23,NA,NA,5.25,NA,1
1,1,7/10/1947,191,1947,7,21.8,21,NA,NA,4.25,NA,1
1,1,7/11/1947,192,1947,7,28.4,28,NA,NA,8,NA,1
1,1,7/12/1947,193,1947,7,23,23,NA,NA,5.25,NA,1
1,1,7/28/1947,209,1947,7,10.3,10,NA,NA,NA,NA,1
1,1,7/29/1947,210,1947,7,23.3,23,NA,NA,NA,NA,1
1,1,8/11/1947,223,1947,8,11,11,NA,NA,0.5,NA,1
1,1,8/11/1947,223,1947,8,11,11,NA,NA,0.5,NA,1
1,1,8/14/1947,226,1947,8,11,11,NA,NA,NA,NA,1
1,1,8/16/1947,228,1947,8,11.3,11,NA,NA,NA,NA,1
1,1,8/18/1947,230,1947,8,11.5,11,NA,NA,NA,NA,1
1,1,8/20/1947,232,1947,8,11,11,NA,NA,NA,NA,1
1,1,8/20/1947,232,1947,8,11,11,NA,NA,NA,NA,1
1,1,8/21/1947,233,1947,8,11.1,11,NA,NA,NA,NA,1
1,1,8/21/1947,233,1947,8,11,11,NA,NA,NA,NA,1
1,1,8/21/1947,233,1947,8,11,11,NA,NA,NA,NA,1
1,1,8/22/1947,234,1947,8,11,11,NA,NA,NA,NA,1
1,1,8/22/1947,234,1947,8,11.4,11,NA,NA,NA,NA,1
1,1,8/31/1947,243,1947,8,12,12,NA,NA,NA,NA,1
1,1,9/3/1947,246,1947,9,12.5,12,NA,NA,NA,NA,1
1,1,9/6/1947,249,1947,9,12,12,NA,NA,NA,NA,1
1,1,9/11/1947,254,1947,9,12.4,12,NA,NA,NA,NA,1
1,1,9/11/1947,254,1947,9,12.3,12,NA,NA,NA,NA,1
1,1,9/12/1947,255,1947,9,12.4,12,NA,NA,NA,NA,1
1,1,9/20/1947,263,1947,9,13,13,NA,NA,NA,NA,1
1,1,9/20/1947,263,1947,9,11,11,NA,NA,NA,NA,1
1,1,9/21/1947,264,1947,9,12,12,NA,NA,NA,NA,1
1,1,1/2/1948,2,1948,1,10,10,NA,NA,NA,NA,1
1,1,1/2/1948,2,1948,1,16,16,NA,NA,NA,NA,1
1,1,3/21/1948,81,1948,3,7,7,NA,NA,NA,NA,1
1,1,3/21/1948,81,1948,3,20,20,NA,NA,NA,NA,1
1,1,4/30/1948,121,1948,4,13,13,NA,NA,NA,NA,1
1,1,5/2/1948,123,1948,5,13,13,NA,NA,NA,NA,1
1,1,5/2/1948,123,1948,5,12,12,NA,NA,NA,NA,1
1,1,5/3/1948,124,1948,5,13,13,NA,NA,NA,NA,1
1,1,5/3/1948,124,1948,5,14,14,NA,NA,NA,NA,1
1,1,5/13/1948,134,1948,5,14,14,NA,NA,NA,NA,1
1,1,5/13/1948,134,1948,5,21,21,NA,NA,NA,NA,1
1,1,5/20/1948,141,1948,5,12,12,NA,NA,NA,NA,1
1,1,5/20/1948,141,1948,5,14,14,NA,NA,NA,NA,1
1,1,5/27/1948,148,1948,5,24,24,NA,NA,NA,NA,1
2,2,5/29/1948,150,1948,5,11.7,11,NA,NA,NA,2,1
2,2,6/9/1948,161,1948,6,13.5,13,NA,NA,NA,3,1
1,1,6/17/1948,169,1948,6,14.8,14,NA,NA,NA,NA,1
2,2,6/17/1948,169,1948,6,14.8,14,NA,NA,1.5,4,1
1,1,6/20/1948,172,1948,6,14,14,NA,NA,NA,NA,1
1,1,6/20/1948,172,1948,6,13.4,13,NA,NA,NA,NA,1
1,1,6/20/1948,172,1948,6,13.2,13,NA,NA,NA,NA,1
1,1,6/20/1948,172,1948,6,13.2,13,NA,NA,NA,NA,1
1,1,6/27/1948,179,1948,6,15,15,NA,NA,NA,NA,1
1,1,6/27/1948,179,1948,6,14,14,NA,NA,NA,NA,1
1,1,7/3/1948,185,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/4/1948,186,1948,7,8.5,8,NA,NA,NA,NA,1
1,1,7/4/1948,186,1948,7,13.8,13,NA,NA,NA,NA,1
1,1,7/4/1948,186,1948,7,8.5,8,NA,NA,NA,NA,1
1,1,7/4/1948,186,1948,7,8.2,8,NA,NA,NA,NA,1
2,2,7/4/1948,186,1948,7,13.8,13,NA,NA,NA,3,1
1,1,7/6/1948,188,1948,7,12.5,12,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,14.2,14,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,14.2,14,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,13.8,13,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,9.5,9,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,9.6,9,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,9.6,9,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,8.3,8,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,8.3,8,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/6/1948,188,1948,7,13.8,13,NA,NA,NA,NA,1
2,2,7/6/1948,188,1948,7,14.2,14,NA,NA,NA,4,1
1,1,7/7/1948,189,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,9,9,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,8.8,8,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,9.3,9,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/7/1948,189,1948,7,15.8,15,NA,NA,NA,NA,1
2,2,7/7/1948,189,1948,7,15.8,15,NA,NA,NA,6,1
1,1,7/8/1948,190,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/8/1948,190,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/8/1948,190,1948,7,17,17,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,15.5,15,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,12.5,12,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,8.4,8,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,8.4,8,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,14.6,14,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,13.7,13,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,15.4,15,NA,NA,NA,NA,1
1,1,7/9/1948,191,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,15,15,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/10/1948,192,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,10,10,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,14.6,14,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,13.3,13,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,13.6,13,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,9.1,9,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,15,15,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/12/1948,194,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/13/1948,195,1948,7,14.6,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14.7,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,12.5,12,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,15.2,15,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14.6,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,15.3,15,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,13.6,13,NA,NA,NA,NA,1
1,1,7/14/1948,196,1948,7,14.8,14,NA,NA,NA,NA,1
2,2,7/14/1948,196,1948,7,14.4,14,NA,NA,NA,3,1
1,1,7/15/1948,197,1948,7,13.8,13,NA,NA,NA,NA,1
1,1,7/15/1948,197,1948,7,8.8,8,NA,NA,NA,NA,1
1,1,7/15/1948,197,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/15/1948,197,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/15/1948,197,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/15/1948,197,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,17.8,17,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,13.3,13,NA,NA,NA,NA,1
1,1,7/16/1948,198,1948,7,13.3,13,NA,NA,NA,NA,1
2,2,7/16/1948,198,1948,7,13.8,13,NA,NA,NA,3,1
1,1,7/17/1948,199,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/17/1948,199,1948,7,9.8,9,NA,NA,NA,NA,1
1,1,7/17/1948,199,1948,7,15.5,15,NA,NA,NA,NA,1
1,1,7/17/1948,199,1948,7,15.3,15,NA,NA,NA,NA,1
1,1,7/18/1948,200,1948,7,15.2,15,NA,NA,NA,NA,1
1,1,7/18/1948,200,1948,7,9.2,9,NA,NA,NA,NA,1
1,1,7/18/1948,200,1948,7,14.9,14,NA,NA,NA,NA,1
1,1,7/18/1948,200,1948,7,9.3,9,NA,NA,NA,NA,1
1,1,7/18/1948,200,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/18/1948,200,1948,7,14.3,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,9.1,9,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.7,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.3,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,9.1,9,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.8,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,16.8,16,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/19/1948,201,1948,7,15.5,15,NA,NA,NA,NA,1
1,1,7/20/1948,202,1948,7,9,9,NA,NA,NA,NA,1
1,1,7/20/1948,202,1948,7,14.3,14,NA,NA,NA,NA,1
1,1,7/20/1948,202,1948,7,9.2,9,NA,NA,NA,NA,1
1,1,7/20/1948,202,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/20/1948,202,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/20/1948,202,1948,7,10,10,NA,NA,NA,NA,1
1,1,7/20/1948,202,1948,7,14.2,14,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,13.3,13,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,13.3,13,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,9.8,9,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,15.2,15,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,9.6,9,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,14.5,14,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,14.6,14,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,16.2,16,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,15,15,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,11,11,NA,NA,NA,NA,1
1,1,7/21/1948,203,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,9.4,9,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,13.2,13,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,14,14,NA,NA,NA,NA,1
1,1,7/22/1948,204,1948,7,14.6,14,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,8.5,8,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,8.6,8,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,16,16,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,13.4,13,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,15,15,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,14.2,14,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,9.6,9,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,9.6,9,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,14.2,14,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,9.6,9,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,31,31,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,15.2,15,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,8.3,8,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,15,15,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,13,13,NA,NA,NA,NA,1
1,1,7/23/1948,205,1948,7,9.6,9,NA,NA,NA,NA,1
2,2,7/23/1948,205,1948,7,31,31,NA,NA,8,7,1
1,1,7/24/1948,206,1948,7,15.8,15,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,9.6,9,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,9.3,9,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,13.4,13,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,14.4,14,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,15.6,15,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,9.5,9,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,15.2,15,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,10,10,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,10.2,10,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,8.5,8,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,8.8,8,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,15.2,15,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,15,15,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,13.5,13,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,9,9,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,15,15,NA,NA,NA,NA,1
1,1,7/24/1948,206,1948,7,9.5,9,NA,NA,NA,NA,1
